tok,weight
('maker', 'of'),2.0
('TOMOEDA', '('),1.0
('that', 'directly'),0.0
Yoshiari,0.0
goblin,-1.0
('Kodama', 'Party'),0.0
('important', 'national'),-3.0
each,-35.0
Fudaraku-san,-2.0
('ICHIJO', 'and'),0.0
(')', 'referred'),-1.0
('Maizuru', 'Chiegura'),0.0
Dojo-ji,-2.0
('Hachinin-shu', 'is'),-1.0
('are', 'worshipping'),-1.0
('became', 'victims'),-1.0
交代寄合,0.0
(',', '1007'),0.0
('Nara', 'Prefecture'),-95.0
paddy,-3.0
('paper', 'to'),0.0
天津神,-1.0
('Views', 'is'),0.0
('Suekawa', 'Memorial'),0.0
sakura,0.0
Yoso-jinja,-1.0
('means', 'something'),0.0
harmonizing,-1.0
Suetsukuribe,-2.0
('1968', ')'),4.0
('constructed', 'on'),-1.0
('are', 'enshrined'),-6.0
('Kanpyono', 'Ontoki'),1.0
('were', 'hiding'),-2.0
('a', 'target'),-4.0
('of', 'Gassan'),-1.0
('once', 'returned'),0.0
('1963', ')'),6.0
('(', '1321-1362'),2.0
('later', 'Mokuami'),-1.0
('Ijuin-cho', ','),0.0
('with', 'foreign'),-1.0
('the', 'Edo'),-19.0
internal,-10.0
('Chan-zong', ')'),-6.0
('in', 'Yamatokoriyama'),0.0
('or', 'giboshu'),0.0
('a', 'bonus'),-1.0
('Ebisu', '"'),0.0
1442-August,0.0
('was', 'bought'),-2.0
(',', 'Tango'),7.0
('dai', 'was'),1.0
('bowl', 'that'),0.0
('of', '75'),2.0
('while', 'he'),2.0
('ice', 'is'),0.0
('Period', ';'),1.0
('turret', ')'),-3.0
('Japanese', 'classics'),1.0
('(', '960'),0.0
('Jingo', 'incident'),-1.0
(',', 'adding'),0.0
倭,0.0
(',', '1805'),3.0
('third', 'daughter'),1.0
('and', 'collection'),-1.0
('a', 'sheet'),-1.0
('editions', ')'),-2.0
('former', 'Shinjo'),-1.0
('portable', 'tableware'),0.0
Okusanomiya,1.0
Kuinabashi,-2.0
Yasuto,1.0
('the', 'self-government'),0.0
('(', 'she'),0.0
('Nanshinron', '('),0.0
evils,0.0
worshipped,-9.0
('Sakabashira', "'"),0.0
('Mototsuna', 'KUTSUKI'),1.0
('a', 'world'),4.0
('1483', '-'),0.0
('especially', 'refers'),-1.0
('the', 'paintings'),-5.0
gesaku,4.0
('Taikenmonin', 'no'),1.0
('position', 'or'),-2.0
Xingxing,0.0
Oka,-2.0
('of', 'kanshi'),-4.0
Bushi,-4.0
('as', 'such'),2.0
('as', 'Zonin'),0.0
('Akitomi', ')'),0.0
('/', 'Shuichi'),0.0
kajuku,-1.0
Danjikomi,0.0
('than', '1000'),-1.0
('Biwa', 'to'),0.0
('promote', 'tourists'),0.0
('the', '45th'),1.0
('a', 'complex'),-2.0
('to', '?'),2.0
('deceased', 'father'),0.0
('no', 'Kiyosuke'),0.0
KUSUMOTO,1.0
('soybean', 'paste'),0.0
('in', '1573'),-1.0
('the', 'prescriptive'),1.0
('NDL', ')'),0.0
('Fukuchiyama', 'City'),-13.0
('Later', 'Three'),8.0
('"', 'Jungido'),-1.0
('-', '1932'),0.0
('cord', 'made'),-1.0
('through', 'the'),-36.0
('Nagarayama', 'Tunnel'),0.0
('of', 'Iwamura'),2.0
Shuchiin,-1.0
('spooks', 'or'),-1.0
('national', 'edification'),-2.0
Bingofukuyama,2.0
('tsukumogami', '&#91;'),-3.0
('military', 'unit'),-2.0
implements,-1.0
('Korin-in', 'Temple'),0.0
('/', 'Tadaoki'),1.0
experience,4.0
(',', 'poet'),0.0
('portable', 'shrines'),0.0
('of', 'capturing'),4.0
('The', 'KOTOKUI'),0.0
Tankei,0.0
intersection,-1.0
('in', '1253'),0.0
('ronin', 'formed'),-2.0
('of', 'art'),-3.0
theory,6.0
TSUKIOKA,-1.0
('desires', 'and'),-1.0
('carried', 'and'),-1.0
('9', 'January'),1.0
calligraphy,-13.0
703,2.0
('1960', '.'),-1.0
reconstruction,-1.0
('the', 'whole'),-3.0
Manryu,1.0
('northernmost', 'place'),-1.0
('their', 'children'),-2.0
('late', 'shogunate'),1.0
('the', 'Warring'),9.0
("'s", 'grandmother'),-1.0
sub-temples,7.0
('MIYOSHI', 'who'),-1.0
('in', 'Waka'),0.0
('powers', 'such'),-1.0
('Konin-Kyaku-Shiki', 'Act'),0.0
('organized', 'the'),0.0
Ishikawa,-2.0
('quarters', 'in'),0.0
Onamuchi,-2.0
('existed', 'until'),-1.0
('Kenjutsu', '('),-3.0
('KAWATAKE', '('),1.0
('nation', "'s"),-1.0
(',', 'tamagushi'),-1.0
('(', 'taro'),-2.0
('by', 'Kunitsu'),0.0
('Law', 'No.1'),-2.0
('official', 'that'),0.0
('musume', '('),1.0
('the', 'shoen-koryo'),0.0
('the', 'Sohonzan'),-1.0
Miyasudokoro,6.0
('performer', '('),0.0
('Emperors', '.'),5.0
('Perfect', 'Wisdom'),-2.0
('practice', 'place'),-2.0
('Nichinichi', 'Shinbun'),0.0
('eightieth', 'Emperor'),1.0
('1583', 'between'),0.0
('black', 'with'),0.0
('chronicle', 'written'),0.0
('individual', 'tournament'),0.0
('a', 'kotaiyoriai'),0.0
175-,-1.0
('possession', ')'),-1.0
('Emperor', 'and'),-1.0
('under', 'ritsuryo'),-3.0
('Okuni', '('),2.0
('Poetry', ')'),17.0
Otojiro,0.0
('Zei', 'are'),0.0
1808-January,2.0
('the', 'protection'),0.0
('Amakashi-no-oka', 'Hill'),-2.0
('food', ')'),-2.0
('as', 'part'),-5.0
1366,0.0
('1131', '-'),1.0
('died', 'January'),0.0
lady-in-waiting,-3.0
(')', 'Saemon'),0.0
('the', 'turn'),0.0
('Yamamoto', 'Reizaburo'),-1.0
('come', 'of'),0.0
('officials', 'and'),-1.0
Dojo,-10.0
('three', 'years'),1.0
('Diary', 'of'),4.0
('familiar', 'in'),-1.0
('call', 'upon'),-3.0
1831-August,0.0
('killed', 'a'),-1.0
('overseeing', 'domain'),-2.0
('imperial', 'court'),-10.0
('-', '1988'),2.0
('of', 'West'),6.0
('established', 'after'),-4.0
('(', '1552-1640'),0.0
('land', 'and'),-2.0
seppuku,0.0
Naramachi,-2.0
('license', 'of'),-2.0
('Koka-cho', ','),-1.0
('sect', 'Myoshin-ji'),0.0
('container', 'made'),-1.0
('foreign', 'policies'),0.0
Motoshiogama-cho,0.0
mold,-2.0
Flowers,-2.0
('making', 'unfiltered'),0.0
('with', 'walls'),-3.0
('of', 'Shioya'),1.0
('springs', '.'),-1.0
1112,4.0
('dignitary', ','),-1.0
(',', '1645'),2.0
('Hyogo', ','),-2.0
joins,-1.0
('leading', 'local'),0.0
('Keijiro', '.'),0.0
('and', 'collecting'),0.0
('also', 'Tsuneko'),1.0
Jittetsu,0.0
('of', 'Kangi-tai'),0.0
('late', 'Kamakura-period'),0.0
('a', 'Thousand'),10.0
('(', '1117'),0.0
('be', 'explained'),0.0
('Namazu-e', 'is'),2.0
('mid-13th', 'century'),3.0
wainscoting,0.0
('opposed', 'and'),-3.0
1391,2.0
('(', 'writes'),0.0
('truth', 'and'),0.0
('war', 'horses'),2.0
Katata,-2.0
(',', '1545'),2.0
('Kyoto', 'Ryozen'),0.0
('and', 'battles'),-5.0
('(', '1393-April'),1.0
('student', 'movement'),-3.0
('approx', '676'),0.0
('classic', 'word'),-6.0
('stone', ','),0.0
komon,-1.0
('than', '257'),2.0
(')', 'including'),-10.0
('was', 'Yukie'),1.0
('A', 'ke'),0.0
('rhetoric', 'in'),0.0
('or', 'outfits'),-1.0
(',', 'gradually'),0.0
('the', 'Kodama'),0.0
('no', 'Koremori'),1.0
('Sadamichi', 'MATSUDAIRA'),0.0
('Buddhahood', '.'),-1.0
Munesada,0.0
('Women', 'Poets'),0.0
('no', 'tsukasa'),-10.0
Ankoku-ji,0.0
('no', 'Nagamatsu'),1.0
('OGASAWARA', 'was'),0.0
('Sanju-roku', 'Kasen'),2.0
('and', 'guide'),-1.0
('no', 'Michinobu'),0.0
('to', 'criminal'),0.0
Hyakunin,1.0
Useki,0.0
Named,-1.0
('ABU', '('),1.0
('Uesugi-uji', 'in'),1.0
Tsukemono,-2.0
('no', 'Sadayoshi'),0.0
1311,3.0
('disciples', 'of'),4.0
('1227', 'to'),1.0
('the', 'Ministry'),-7.0
('1374', ')'),2.0
serviced,0.0
Kokomae,0.0
('Fuqing', ','),0.0
Izumi-ryu,5.0
nengu,-16.0
('reclaimed', 'land'),0.0
('a', 'Busshi'),3.0
('local', 'volunteers'),-1.0
1189,1.0
('of', 'enthronement'),3.0
own,-16.0
('Takato', 'OSHIMA'),0.0
('guardian', 'deity'),-5.0
('calender', 'in'),0.0
('Kokugaryo', 'is'),-1.0
('Dainihon', 'Chado'),0.0
('dynasties', 'were'),-3.0
('KAMACHI', 'was'),1.0
(',', 'trailing'),-1.0
selects,0.0
mechanism,0.0
('Yuteihisho', 'is'),-3.0
's-April,2.0
Tsunemune,0.0
Kangofu,-1.0
('and', 'keeping'),2.0
('of', 'Naramachi'),0.0
('into', 'Wakasa'),-1.0
Jinki,4.0
('cultivated', 'in'),-1.0
('gave', 'to'),-1.0
('base', 'through'),0.0
('kami', 'was'),-4.0
tranquility,-4.0
白溶裔,-1.0
('of', 'soil'),0.0
('to', 'mid-Edo'),-2.0
(',', 'meat'),0.0
('Yabusame', 'is'),-1.0
('arrows', 'from'),-1.0
('after', 'boiling'),0.0
('raised', 'by'),-5.0
('Miyako', 'shichifukujin'),0.0
('Nohgaku', 'theatre'),-1.0
('1405', ')'),6.0
('Tsurugi', 'is'),2.0
('Kaijo', '('),0.0
Hanpen,0.0
('790', ')'),4.0
(',', 'Otake'),0.0
('Book', '"'),3.0
('dokoro', '('),-9.0
(',', 'SUGAWARA'),-4.0
('unknown-January', '13'),0.0
('opinion', 'group'),-5.0
Toho,0.0
('(', '768'),0.0
('The', 'Kizokuin'),-2.0
('parent', 'company'),-1.0
('St.', 'Ihaku'),0.0
('conduct', ','),-2.0
('collectively', 'means'),0.0
馬甘,1.0
Ennyo,0.0
longitude,0.0
('which', 'stands'),0.0
("'", 'kagami-mono'),3.0
('cuisine', 'using'),-1.0
('that', 'refers'),2.0
('roller', 'of'),-1.0
('a', 'cord'),-2.0
('Kamachi', 'fiefdom'),1.0
('as', 'Hidakokuzo'),-2.0
Nirvana,-4.0
(',', 'Kumano-Hongu-Taisha'),-2.0
('1687-September', '11'),2.0
('in', 'November'),-6.0
honmyojo,-2.0
('(', '1837'),3.0
('Korean', 'name'),1.0
('Hannya', 'Shingyo'),-4.0
('(', '1247'),0.0
('railway', 'yard'),0.0
('five', 'syllables'),0.0
('printing', 'in'),0.0
carriage,-1.0
Tomonomiyatsuko,-1.0
('Shimazu', 'family'),0.0
('Emperor', 'Nintoku'),9.0
thirtieth,0.0
('Norikuni', 'MAEDA'),0.0
('724', '-'),0.0
('official', '"'),-1.0
('farther', 'to'),0.0
('betting', 'on'),-1.0
('Japan', 'under'),-3.0
('&#91;', 'single'),-1.0
('1773', '–'),0.0
('food', 'prepared'),0.0
('queen', 'of'),0.0
('hand', 'scrolls'),7.0
('building', 'stone'),0.0
('First', 'Taro'),-1.0
('IOI', 'no'),1.0
('an', 'arrow'),2.0
('long', 'bow'),0.0
('of', 'modern'),-6.0
Nagitsuji,-2.0
('913', '-'),0.0
wedding,0.0
('Rikyu', 'Hachiman-gu'),0.0
('the', 'broader-based'),-2.0
Town,-25.0
Himorogi,-3.0
('mackerel', ','),-2.0
Hamaotsu,0.0
fables,1.0
('a', 'final'),0.0
caused,-7.0
('or', 'tenka-nin'),-1.0
('the', 'tunnels'),0.0
('certain', 'word'),0.0
Zendo,2.0
faculty,-1.0
Kehaya,0.0
Flower-like,-1.0
('Chiegura', '"'),0.0
('Kenzo', 'and'),1.0
Konjaku,-12.0
koke,1.0
('political', 'misfortune'),-1.0
('Ninja', 'Village'),-1.0
('of', 'Koso'),0.0
('Ningyo', 'joruri'),-1.0
('presents', 'offered'),0.0
('a', 'watchtower'),0.0
ryoci-hanmono,-1.0
('in', 'in'),0.0
1516,1.0
('scientific', 'name'),-4.0
('勺', ')'),0.0
1722,1.0
1757,1.0
('Shoshikai', 'is'),-1.0
('kabuki', 'by'),0.0
('the', 'powdery'),-1.0
('thick', 'cloth'),-1.0
('Genpei', 'War'),0.0
('tool', '.'),0.0
('other', 'at'),-1.0
('late', 'April'),-1.0
Ryonin,1.0
John,1.0
875,3.0
('Shikken', 'is'),0.0
('who', 'governed'),-4.0
('of', 'Japenese'),0.0
('Kojiki', '('),4.0
Sasakiyama,0.0
Oshibori,0.0
('stirring', 'the'),0.0
('consort', 'to'),0.0
('Gakuren', 'Jiken'),-3.0
Motsunabe,0.0
('feudal', 'period'),-2.0
('a', 'SF'),0.0
('in', 'Asuka'),-2.0
('540', '-'),2.0
('Technology', 'based'),0.0
('or', 'August'),0.0
('rice', 'to'),-4.0
('be', 'descended'),-8.0
('floating', 'lanterns'),-1.0
('no', 'tatakai'),-2.0
('a', 'pun'),-3.0
('Kikakumaru', 'TOIDA'),1.0
('needed', 'for'),0.0
('960', '.'),1.0
('Many', 'Treasures'),0.0
('"', 'Shibaraku'),-1.0
('The', 'Takeda'),-3.0
Eiden,0.0
('cakes', 'and'),0.0
('for', 'entertaining'),-1.0
('have', 'long'),-1.0
medicinal,-2.0
('Ononoki', ')'),0.0
('Smilacaceae', '.'),0.0
('are', 'loaded'),-1.0
('cherry', 'tree'),-1.0
1762,0.0
('of', 'Shinshu'),-1.0
('of', 'emperors'),0.0
('agatanonushi', '"'),-1.0
('from', 'any'),0.0
('1971', '-'),3.0
('United', 'Silla'),0.0
('an', 'assault'),-1.0
('worshiped', 'Nichiren'),-2.0
兵法家,-1.0
(',', '1851-January'),0.0
('Kazuraki', 'no'),-2.0
('sea', 'god'),-3.0
('sauce', ','),-5.0
('Minakawa', 'Domain'),0.0
('15th', 'shogun'),0.0
('Jokyo', 'calendar'),-1.0
('Limpid', 'Cool'),1.0
('Old', 'Shingon'),0.0
('603', ')'),1.0
('with', 'hot'),-1.0
('Ongaku', 'Hakurankai'),-1.0
('of', 'their'),-15.0
appeal,2.0
('.', 'Otokoyama'),-2.0
('around', '1532'),-1.0
('Education', 'Minister'),0.0
('Buddhist', 'statute'),0.0
('government', 'at'),0.0
('generations', 'of'),0.0
('Reizei', 'school'),5.0
dance-drama,-1.0
('814', ')'),0.0
('to', 'add'),0.0
('Miyake', 'odoi'),-1.0
('the', 'YOSHIDA'),0.0
('cooked', 'rice'),-1.0
('Register', 'of'),0.0
('Suo', 'NUKINA'),0.0
('basis', 'and'),0.0
(')', 'music'),-1.0
('Puja', ','),0.0
('part', 'that'),-2.0
('Suenaga', '('),0.0
('(', '4'),1.0
Iemichi,1.0
Jokoin,1.0
Sannomaru,0.0
('daba', ','),0.0
('Oshikuma', 'no'),0.0
('Chanoyu', 'Ichie'),1.0
('Tanzan-jinja', 'Shrine'),0.0
('"', 'teru'),0.0
('labor', ','),0.0
('Road', 'are'),0.0
('salon', 'or'),-1.0
opponents,2.0
('penal', 'and'),-3.0
('Ichijo', 'Modoribashi'),0.0
Bunkyu,-2.0
('approximately', '360'),1.0
('or', '草紙洗小町'),-1.0
grandson,7.0
('to', 'retire'),5.0
YAMAGA,3.0
('kurodo', '('),-8.0
(',', 'four'),0.0
('from', 'sake'),-1.0
('of', 'Kawanakajima'),-1.0
('1942', ')'),4.0
('Jujo-dori', 'Street'),0.0
Ginko,1.0
wing,-4.0
(',', 'military'),0.0
('Shimotsukenukokuzo', ','),-3.0
('1109', '-'),1.0
('Koryaku', '('),-7.0
Yodogimi,0.0
arrow-shaped,0.0
('Line', 'and'),-2.0
('Education', ','),-4.0
('Kappumen', 'indicates'),0.0
('heavenward', '.'),0.0
('Yoritsune', 'and'),-1.0
('MARUMO', '('),0.0
('Chief', 'advisor'),3.0
('an', 'enthronement'),4.0
('Jurin-in', 'Town'),0.0
pass,-9.0
('demoted', 'from'),2.0
('Court', '&#93;'),1.0
Pujana,-1.0
('Genkei', 'NAKANE'),0.0
('Kujihoongi', '"'),0.0
('have', 'died'),1.0
('ancient', 'Taoism'),0.0
Hijiki,-1.0
('a', 'engraved'),-1.0
kiri,-2.0
('by', 'Stan'),0.0
(',', '1962'),0.0
('kana', ','),2.0
('with', 'Demachiyanagi'),0.0
('Kamigata', 'rakugo'),0.0
('Prefexture', 'and'),0.0
('Josho', 'HORIN'),0.0
('Mai-goto', 'means'),-1.0
Myogakin,-2.0
('or', 'slicing'),0.0
('in', 'Igu'),0.0
Shuhei,0.0
('Gazu', 'Zoku'),-5.0
('codes', '.'),0.0
commemoration,0.0
('1466', '-'),2.0
('Shogun', 'positions'),-5.0
('shui', '.'),0.0
('that', 'would'),0.0
('Munesuke', '('),1.0
('&#91;', 'history'),1.0
('in', 'sweetened'),0.0
('artist', 'came'),3.0
(':', 'Matsuo-san'),-2.0
('Shoo-cho', '('),-2.0
Sumoto,-1.0
('popular', 'name'),3.0
('Sericulture', 'High'),0.0
('Year', 'such'),0.0
Miyoshi-cho,1.0
('the', 'Machino'),5.0
harvests,-2.0
Juzu,-1.0
('to', 'traditional'),-3.0
fifty-fifth,1.0
('the', 'Sanskrit'),-1.0
('aesthetic', 'notion'),0.0
('Northern', 'and'),59.0
practically,0.0
('Japanese', 'provincial'),9.0
('坪内', '逍遥'),0.0
('Shakaito', '&#91;'),-2.0
('piece', '.'),-1.0
('Seido', '('),0.0
('Uzumasa', 'Hassei'),0.0
('or', '活津彦根命'),-1.0
('was', 'included'),-3.0
('is', 'for'),-1.0
('869', ')'),0.0
('Kitano', 'mandokoro'),0.0
('item', 'listed'),-1.0
('official', 'temporarily'),-1.0
('BKC', ')'),-2.0
('1056-year', 'of'),0.0
('by', 'readers'),0.0
('1501', ')'),2.0
('Kintomi', 'SANJO'),0.0
('(', 'kanrei'),-1.0
Godai,4.0
('GOZEN', '('),0.0
('secretariat', ')'),-3.0
('尊格', ')'),-2.0
('(', 'cymbal'),-3.0
('overpass', 'located'),0.0
('first', 'Princess'),2.0
Motoda,-3.0
('Yanaginouchi-cho', ','),0.0
('the', 'seller'),-1.0
('Toki', 'no'),2.0
Retired,-4.0
('Masahiro', 'SAIMURA'),0.0
Yokei,1.0
('astrological', 'divination'),-2.0
('&#91;', 'literally'),1.0
('that', 'flourished'),-8.0
('middle', ','),0.0
('Hirakawa', 'Temple'),0.0
('powerful', 'domain'),-1.0
('sold', 'and'),-1.0
('oraimono', '('),-2.0
('Tomonori', '('),4.0
('gogo', '('),0.0
('"', 'Ugajin'),0.0
SAKATA,0.0
downtown,-1.0
Shubun,0.0
('to', 'consolidate'),0.0
('commodities', 'and'),0.0
('November', '15'),1.0
('documents', 'with'),7.0
('to', 'judge'),-1.0
Daiko,0.0
('He', 'came'),0.0
(')', 'Tsunako'),1.0
('1393', '-'),1.0
('a', 'construction'),3.0
Jitsunyo,0.0
('one', 'traditional'),-2.0
('Shiranami-mono', "'"),-1.0
('Three', 'Great'),-3.0
('1898', '–'),1.0
('Kagetsune', '('),0.0
('portable', 'food'),0.0
('forceful', 'diplomacy'),-1.0
('Naoko', 'OGIMACHI'),0.0
('Shokai', ','),-1.0
('(', 'Inspector'),-1.0
('1775', '-'),4.0
('TACHIBANA', '('),5.0
('of', 'expulsion'),-1.0
('November', '6'),6.0
('Mitsunari', 'ISHIDA'),4.0
('the', 'bakufu'),-10.0
('deliberative', 'organization'),-1.0
('Makiwara', 'is'),-3.0
('Niihama', 'City'),0.0
('Eiichi', 'KUDO'),3.0
AYUKAWA,0.0
('Court', 'is'),-1.0
('(', 'mid-level'),0.0
公顕,0.0
('garrison', 'called'),0.0
('MATSUYAMA', '('),2.0
('five', 'kuni'),0.0
('before', 'Yamato'),-1.0
('(', 'potherb'),0.0
('to', '681'),0.0
('and', 'prosperity'),0.0
('Three', 'Sacred'),-3.0
('in', 'Russian'),-5.0
('searches', 'for'),0.0
('Kiyohime', 'has'),3.0
('Zenchiku', 'KONPARU'),0.0
('and', 'hatamoto'),-7.0
('the', 'systems'),-5.0
MIKI,-1.0
('1817-December', '6'),1.0
('walls', 'adopted'),0.0
('Du', 'in'),-1.0
('subject', 'published'),2.0
('(', 'folk'),0.0
('is', 'ground'),-1.0
('formerly', 'Natasho-mura'),0.0
('of', 'Jimyoin'),0.0
('or', 'self-governing'),0.0
Kagenori,0.0
granted,-6.0
('lower', 'Nyu-gawa'),0.0
('their', 'connections'),-1.0
('Miyama', 'is'),0.0
('bacillus', 'subtilis'),0.0
('Aikyu', 'is'),0.0
('or', 'punished'),0.0
bands,-7.0
('Imperial', 'paper'),2.0
('or', 'honi'),0.0
shingon,0.0
sheets,0.0
(',', '1175'),1.0
Tabiji,-1.0
Ritsuryo,-122.0
shikiji,-8.0
('weapons', ','),-1.0
('Usagi', '('),2.0
('year', '707'),1.0
(',', '1063'),1.0
('playwright', '.'),3.0
797,3.0
('"', 'blue'),0.0
('player', ','),-11.0
('old', 'stories'),0.0
('no', 'uji'),-3.0
koryubujutsu,-1.0
Sufu,-6.0
earthenware,-2.0
('or', 'rimu'),-1.0
('new', 'family'),-2.0
('as', 'Shitenno'),0.0
('Dynasty', 'in'),3.0
('window', 'in'),0.0
lampblack,0.0
('TAKANO', 'no'),1.0
('Omikami', ','),-1.0
aesthetic,1.0
('1312', ')'),0.0
('The', 'karawa'),-2.0
('Yuan', 'yaki'),-1.0
('tenth', 'lord'),2.0
('war', 'in'),-3.0
('the', 'modern-day'),0.0
('tsutae', '"'),-2.0
('?', 'December'),2.0
('watch', 'an'),0.0
('no', 'Chisato'),0.0
('Izumo', ')'),-1.0
('Kabuki', 'itself'),0.0
('order', 'document'),-1.0
('Emperor', 'Jinmu'),23.0
('a', 'novelist'),3.0
('was', 'translated'),-1.0
('literary', 'forms'),2.0
('Toshoku', '('),0.0
Spinning,3.0
Omamori,-1.0
('a', 'pseudonym'),0.0
('Chatsubo', 'is'),-1.0
('Meiji', '('),1.0
('and', 'charity'),-1.0
('linked', 'verse'),6.0
('Ogura', 'family'),-1.0
('1795', 'to'),0.0
Tenkawa,0.0
('their', 'ends'),0.0
involved,-3.0
('Joha', 'SATOMURA'),0.0
('Taga', 'Steam'),0.0
pagoda,-4.0
('a', 'Ninjutsu'),-1.0
('"', 'Sunakake-babaa'),0.0
('/', 'giving'),0.0
Japanese-Korean,0.0
('the', 'Gobugyo'),0.0
('Yoshikiyo', '('),0.0
('1455', 'to'),1.0
('Ojin', '('),1.0
('plays', 'kotsuzumi-kata'),0.0
('been', 'removed'),-4.0
('Shrines', 'around'),-2.0
('section', 'in'),-2.0
1147,3.0
tyrannies,0.0
('popular', 'subjects'),-4.0
('writing', 'brush'),0.0
('Fujiwara-kyo', 'was'),-1.0
('officer', 'politician'),0.0
Baisho-zukuri,-1.0
KINUGASA,0.0
('was', 'kakaku'),-3.0
('to', 'classical'),0.0
dragon,-1.0
Press,0.0
('also', 'stands'),-3.0
('business', 'in'),0.0
('to', 'brassica'),0.0
('to', 'stabilize'),-1.0
('kani-junikai', ')'),0.0
grade,-8.0
('cable', 'car'),-1.0
('of', 'hawks'),-2.0
('of', 'venerable'),0.0
('by', 'Toho'),0.0
('no', 'Toshiaki'),1.0
('wearing', 'wafuku'),0.0
Fujiko,2.0
('released', 'in'),-2.0
('are', 'required'),-1.0
('Miko', ';'),2.0
Kujira,1.0
('(', 'Kurama'),-1.0
('December', '10'),2.0
('rice', 'wine'),-9.0
('Nagashiraha', 'no'),-1.0
(',', 'Korea'),-2.0
('Buddha', 'Sacred'),-2.0
('Spring', 'is'),-3.0
('936', '-'),0.0
('Tsunakata', 'KUTSUKI'),2.0
('late', 'Sengoku'),2.0
('to', 'spit'),-1.0
Yodoyabashi,0.0
('as', 'vegetables'),-2.0
('a', 'subordinate'),-2.0
('tithed', 'to'),-1.0
('sushi', 'on'),0.0
('1790', ')'),1.0
('rank', 'or'),-2.0
('Kagurauta', '('),0.0
Tadatoki,0.0
('The', 'Jinmon'),0.0
('1476', '-'),1.0
('de', 'facto'),-8.0
('present-day', 'Katano'),-1.0
('Musashi', 'no'),-3.0
('Septwmber', '8'),2.0
("'", 'Kutenai'),0.0
Kyomi-toge,0.0
eighteen,-3.0
('into', 'flat'),0.0
Eikoin,0.0
('(', 'Description'),-1.0
('senke', '('),-1.0
('(', '954'),5.0
('to', 'ban'),0.0
('have', 'asserted'),-1.0
Onri,0.0
('Japanese', 'noble'),1.0
voyage,0.0
Kokugaryo,-2.0
('a', 'high-ranking'),-1.0
('no', 'Yukinari'),-4.0
('in', 'zoni'),-1.0
mythological,7.0
Kuragaki,-5.0
('production', 'techniques'),0.0
('ninth', 'head'),2.0
('Bicchu', 'in'),2.0
simple,0.0
Tadashi,2.0
('shaped', 'part'),-1.0
('Mito', 'domain'),1.0
('in', 'Imazu-cho'),0.0
('actor', ','),3.0
Geisha,1.0
uniform,-3.0
('silk', 'cuttings'),0.0
('as', '御招霊'),-1.0
('around', 'Sakata'),-1.0
('or', 'calligraphy'),-1.0
('Kinugasa', 'Stadium'),0.0
OKUMA,-3.0
daini,3.0
('Shogun', '.'),0.0
('the', 'Ein'),-2.0
('(', '1583'),1.0
('at', 'websites'),0.0
Tadanobu,-5.0
('ran', '('),-3.0
Shigoto,0.0
('representing', 'Japan'),-1.0
('seasonings', 'such'),0.0
('been', 'originated'),-3.0
('produced', 'through'),-3.0
('Rising', 'Sun'),-1.0
('first', 'feudal'),0.0
('covering', 'Kamigyo'),0.0
("'", 'Monzen'),4.0
TANBA,-5.0
('by', 'yeast'),-2.0
Takefu,0.0
Manabe,0.0
('egg', 'dishes'),-1.0
Miguel,0.0
('Railway', 'Nationalization'),-1.0
Iesada,5.0
('(', 'sitting'),-1.0
('little', 'brothers'),0.0
('in', 'noh'),0.0
('Northern', 'Court'),-10.0
('previous', 'bodies'),-1.0
('robber', ')'),1.0
Kunin-chojakunin,-1.0
('(', '斗'),0.0
('religious', 'leader'),3.0
('expectation', 'for'),0.0
('protective', 'gear'),-2.0
Kogaku,-1.0
('river', 'system'),-3.0
('the', 'whales'),0.0
('to', 'preserve'),-1.0
patrimonially,-1.0
('present-day', 'Okidome'),-3.0
VII,-2.0
Daikon,0.0
('MINO', 'no'),7.0
(',', '1021'),1.0
('(', '1206'),0.0
('remains', 'of'),-7.0
('Amanoiwatowakenokami', 'is'),-2.0
('and', 'those'),-1.0
bolognese,-2.0
('a', 'first'),0.0
('structure', 'should'),-2.0
Mutsu-machi,-1.0
('things', 'for'),0.0
('Historical', 'Landmark'),-2.0
('Quarters', ','),-1.0
('Itsutsuji-dori', 'Street'),-1.0
('divination', 'that'),0.0
('-', 'Head'),-4.0
('eastern', 'half'),0.0
('and', 'lastly'),0.0
('from', 'father'),0.0
('ashore', 'and'),-1.0
('KOSOHE', 'no'),1.0
New-School,0.0
('the', 'subjects'),-1.0
neighboring,0.0
('adding', 'charcoal'),0.0
('Ikan', 'is'),0.0
Ajanta,0.0
Kyoto-ben,0.0
('quarters', 'of'),-2.0
('of', 'Iesada'),0.0
monopolized,-2.0
('as', 'emperor'),6.0
(',', 'usually'),1.0
('the', 'southwest'),-1.0
('no', 'te'),0.0
('of', 'Kinkata'),1.0
('Dada', ')'),-1.0
('1748', ')'),2.0
('arts', '"'),0.0
('the', 'body'),-7.0
('MATSUHISA', '('),1.0
('Party', 'and'),-3.0
loyal,2.0
('Hirosue', 'SAIONJI'),0.0
('Dako', 'was'),-1.0
('Ellora', 'Caves'),0.0
('a', 'translated'),0.0
('Michisue', '('),1.0
('Association', '.'),0.0
('Shigemochi', 'MIKUMO'),1.0
('Masako', 'ITO'),4.0
('with', '30'),-1.0
('Emperor', 'Ogimachi'),0.0
('ruler', '('),1.0
(',', '1874'),7.0
('from', 'finely'),0.0
